accession	accession.version	taxid	gi
Z17657	Z17657.1	3702	16823
Z17658	Z17658.1	3702	16825
Z17659	Z17659.1	3702	16827
Z17660	Z17660.1	3702	16829
Z17661	Z17661.1	3702	16831
Z17662	Z17662.1	3702	16832
Z17663	Z17663.1	3702	16833
Z17664	Z17664.1	3702	16834
Z17665	Z17665.1	3702	16835
Z17666	Z17666.1	3702	16837
Z17667	Z17667.1	3702	16838
Z17668	Z17668.1	3702	16839
Z17669	Z17669.1	3702	16840
Z17670	Z17670.1	3702	16842
Z17671	Z17671.1	3702	16843
Z17672	Z17672.1	3702	16844
Z17673	Z17673.1	3702	16846
Z17674	Z17674.1	3702	16847
Z17675	Z17675.1	3702	16848
Z17676	Z17676.1	3702	16850
Z17677	Z17677.1	3702	16851
Z17678	Z17678.1	3702	16852
Z17679	Z17679.1	3702	16854
Z17680	Z17680.1	3702	16855
Z17681	Z17681.1	3702	16856
Z17682	Z17682.1	3702	16857
Z17683	Z17683.1	3702	16858
Z17684	Z17684.1	3702	16859
Z17685	Z17685.1	3702	16860
Z17686	Z17686.1	3702	16861
Z17687	Z17687.1	3702	16862
Z17688	Z17688.1	3702	16863
Z17689	Z17689.1	3702	16865
Z17690	Z17690.1	3702	16866
Z17691	Z17691.1	3702	16868
Z17692	Z17692.1	3702	16869
Z17693	Z17693.1	3702	16871
Z17694	Z17694.1	3702	16873
Z17695	Z17695.1	3702	16875
Z17696	Z17696.1	3702	16877
Z17697	Z17697.1	3702	16879
Z17698	Z17698.1	3702	16881
Z17699	Z17699.1	3702	16882
Z17700	Z17700.1	3702	16883
Z17701	Z17701.1	3702	16884
Z17702	Z17702.1	3702	16885
Z17703	Z17703.1	3702	16886
Z17704	Z17704.1	3702	16887
Z17705	Z17705.1	3702	16888
Z17706	Z17706.1	3702	16889
Z17707	Z17707.1	3702	16890
Z17708	Z17708.1	3702	16892
Z17709	Z17709.1	3702	16893
Z17710	Z17710.1	3702	16894
Z17711	Z17711.1	3702	16896
Z17712	Z17712.1	3702	16897
Z17713	Z17713.1	3702	16898
Z17714	Z17714.1	3702	16899
Z17715	Z17715.1	3702	16900
Z17716	Z17716.1	3702	16901
Z17717	Z17717.1	3702	16902
Z17718	Z17718.1	3702	16903
Z17719	Z17719.1	3702	16904
Z17720	Z17720.1	3702	16906
Z17721	Z17721.1	3702	16907
